protocol,flow_duration,mean_forward_iat,min_forward_iat,max_forward_iat,std_forward_iat,mean_backward_iat,min_backward_iat,max_backward_iat,std_backward_iat,mean_flow_iat,min_flow_iat,max_flow_iat,std_flow_iat,mean_active_time,min_active_time,max_active_time,std_active_time,mean_idle_time,min_idle_time,max_idle_time,std_idle_time,Prediction
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS Traffic
46,89302.39587,720.1806118,2.073932171,6016.467111,841.583639,0.0,0.0,0.0,0.0,720.1806118,2.073932171,6016.467111,841.583639,0.0,0.0,0.0,0.0,720.1806118,2.073932171,6016.467111,841.583639,Normal Traffic
46,89302.39587,0.0,0.0,0.0,0.0,750.4403014,2.073925972,6016.467121,856.4796189,750.4403014,2.073925972,6016.467121,856.4796189,0.0,0.0,0.0,0.0,750.4403014,2.073925972,6016.467121,856.4796189,Normal Traffic
46,36569.00437,1406.500168,50.93961,6576.697864,1551.640579,0.0,0.0,0.0,0.0,1406.500168,50.93961,6576.697864,1551.640579,0.0,0.0,0.0,0.0,1406.500168,50.93961,6576.697864,1551.640579,Normal Traffic
46,36569.00438,0.0,0.0,0.0,0.0,1523.708516,50.93961,7869.658773,1829.064912,1523.708516,50.93961,7869.658773,1829.064912,0.0,0.0,0.0,0.0,1523.708516,50.93961,7869.658773,1829.064912,Normal Traffic
46,33801.32455,1056.291392,0.189308167,7001.704298,1688.34189,0.0,0.0,0.0,0.0,1056.291392,0.189308167,7001.704298,1688.34189,0.200081259,0.189308167,0.218468904,0.00883675,2112.382703,268.5818961,7001.704298,1862.88458,Normal Traffic
46,33801.1341,0.0,0.0,0.0,0.0,2253.40894,268.7924139,7394.498142,1936.721148,2253.40894,268.7924139,7394.498142,1936.721148,0.0,0.0,0.0,0.0,2253.40894,268.7924139,7394.498142,1936.721148,Normal Traffic
46,89451.2976,155.2973917,0.974884987,4186.307068,229.6299048,0.0,0.0,0.0,0.0,155.2973917,0.974884987,4186.307068,229.6299048,0.979002476,0.974884987,0.983119965,0.004117489,155.8350864,1.020771027,4186.307068,229.8485495,Normal Traffic
46,89451.29761,0.0,0.0,0.0,0.0,166.2663524,0.974884987,4186.307063,243.8117399,166.2663524,0.974884987,4186.307063,243.8117399,0.979009986,0.974884987,0.983134985,0.004124999,166.8830962,1.020777941,4186.307063,244.0566549,Normal Traffic
46,34431.54408,11477.18136,2574.273173,26751.81568,10850.11708,0.0,0.0,0.0,0.0,11477.18136,2574.273173,26751.81568,10850.11708,0.0,0.0,0.0,0.0,11477.18136,2574.273173,26751.81568,10850.11708,Normal Traffic
